timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718516646042,55,Multiples loggeos,200,OK,Login 2-1,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,1
1718516646143,56,Multiples loggeos,200,OK,Login 2-2,text,true,,393,230,1,1,http://localhost:5000/api/login,56,0,0
1718516646242,57,Multiples loggeos,200,OK,Login 2-3,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516646343,57,Multiples loggeos,200,OK,Login 2-4,text,true,,393,230,1,2,http://localhost:5000/api/login,57,0,0
1718516646442,57,Multiples loggeos,200,OK,Login 2-5,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,1
1718516646542,57,Multiples loggeos,200,OK,Login 2-6,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516646644,57,Multiples loggeos,200,OK,Login 2-7,text,true,,393,230,1,2,http://localhost:5000/api/login,57,0,0
1718516646743,57,Multiples loggeos,200,OK,Login 2-8,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516646842,57,Multiples loggeos,200,OK,Login 2-9,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,1
1718516646942,58,Multiples loggeos,200,OK,Login 2-10,text,true,,393,230,1,2,http://localhost:5000/api/login,58,0,0
1718516647042,58,Multiples loggeos,200,OK,Login 2-11,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,0
1718516647143,54,Multiples loggeos,200,OK,Login 2-12,text,true,,393,230,1,1,http://localhost:5000/api/login,54,0,0
1718516647243,58,Multiples loggeos,200,OK,Login 2-13,text,true,,393,230,1,2,http://localhost:5000/api/login,58,0,0
1718516647343,57,Multiples loggeos,200,OK,Login 2-14,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516647443,57,Multiples loggeos,200,OK,Login 2-15,text,true,,393,230,1,1,http://localhost:5000/api/login,57,0,0
1718516647544,55,Multiples loggeos,200,OK,Login 2-16,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,0
1718516647643,55,Multiples loggeos,200,OK,Login 2-17,text,true,,393,230,1,1,http://localhost:5000/api/login,55,0,1
1718516647743,58,Multiples loggeos,200,OK,Login 2-18,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,1
1718516647842,55,Multiples loggeos,200,OK,Login 2-19,text,true,,393,230,1,2,http://localhost:5000/api/login,55,0,1
1718516647943,54,Multiples loggeos,200,OK,Login 2-20,text,true,,393,230,1,1,http://localhost:5000/api/login,54,0,0
1718516648042,58,Multiples loggeos,200,OK,Login 2-21,text,true,,393,230,1,1,http://localhost:5000/api/login,58,0,1
